dataset,n,partitioner,method,block_formula,block_size,r2,time_s,xgb_r2,xgb_time_s,r2_delta,speed_ratio
linreg_20d,50000,pyramid_hart,variance_ordered,current,1400.0,0.91228,1.581,0.89788,1.118,0.0144,1.41
linreg_20d,50000,pyramid_hart,variance_ordered,sqrt,2236.0,0.91114,2.015,0.89788,1.118,0.01326,1.8
linreg_20d,50000,pyramid_hart,variance_ordered,log,3203.0,0.90849,2.513,0.89788,1.118,0.01061,2.25
linreg_20d,50000,pyramid_hart,variance_ordered,tenth,5000.0,0.90552,3.387,0.89788,1.118,0.00764,3.03
linreg_20d,50000,pyramid_hart,variance_ordered,fifth,10000.0,0.90127,5.738,0.89788,1.118,0.00339,5.13
linreg_20d,50000,pyramid_hart,variance_ordered,none,,0.89515,10.352,0.89788,1.118,-0.00273,9.26
linreg_20d,50000,hvrt,variance_ordered,current,1400.0,0.91242,1.645,0.89788,1.118,0.01454,1.47
linreg_20d,50000,hvrt,variance_ordered,sqrt,2236.0,0.91015,2.031,0.89788,1.118,0.01227,1.82
linreg_20d,50000,hvrt,variance_ordered,log,3203.0,0.90817,2.481,0.89788,1.118,0.01029,2.22
linreg_20d,50000,hvrt,variance_ordered,tenth,5000.0,0.90553,3.356,0.89788,1.118,0.00765,3.0
linreg_20d,50000,hvrt,variance_ordered,fifth,10000.0,0.90125,6.335,0.89788,1.118,0.00337,5.67
linreg_20d,50000,hvrt,variance_ordered,none,,0.89505,11.209,0.89788,1.118,-0.00283,10.03
california,2000,pyramid_hart,variance_ordered,current,,0.72912,0.294,0.73765,0.52,-0.00853,0.56
california,2000,pyramid_hart,variance_ordered,sqrt,,0.72912,0.217,0.73765,0.52,-0.00853,0.42
california,2000,pyramid_hart,variance_ordered,log,,0.72912,0.281,0.73765,0.52,-0.00853,0.54
california,2000,pyramid_hart,variance_ordered,tenth,,0.72912,0.276,0.73765,0.52,-0.00853,0.53
california,2000,pyramid_hart,variance_ordered,fifth,,0.72912,0.236,0.73765,0.52,-0.00853,0.45
california,2000,pyramid_hart,variance_ordered,none,,0.72912,0.247,0.73765,0.52,-0.00853,0.47
california,2000,hvrt,variance_ordered,current,,0.72827,0.248,0.73765,0.52,-0.00938,0.48
california,2000,hvrt,variance_ordered,sqrt,,0.72827,0.265,0.73765,0.52,-0.00938,0.51
california,2000,hvrt,variance_ordered,log,,0.72827,0.255,0.73765,0.52,-0.00938,0.49
california,2000,hvrt,variance_ordered,tenth,,0.72827,0.272,0.73765,0.52,-0.00938,0.52
california,2000,hvrt,variance_ordered,fifth,,0.72827,0.226,0.73765,0.52,-0.00938,0.43
california,2000,hvrt,variance_ordered,none,,0.72827,0.227,0.73765,0.52,-0.00938,0.44
california,5000,pyramid_hart,variance_ordered,current,,0.74613,0.624,0.76762,0.513,-0.02149,1.22
california,5000,pyramid_hart,variance_ordered,sqrt,,0.74613,0.651,0.76762,0.513,-0.02149,1.27
california,5000,pyramid_hart,variance_ordered,log,,0.74613,0.681,0.76762,0.513,-0.02149,1.33
california,5000,pyramid_hart,variance_ordered,tenth,,0.74613,0.625,0.76762,0.513,-0.02149,1.22
california,5000,pyramid_hart,variance_ordered,fifth,,0.74613,0.635,0.76762,0.513,-0.02149,1.24
california,5000,pyramid_hart,variance_ordered,none,,0.74613,0.626,0.76762,0.513,-0.02149,1.22
california,5000,hvrt,variance_ordered,current,,0.74543,0.684,0.76762,0.513,-0.02219,1.33
california,5000,hvrt,variance_ordered,sqrt,,0.74543,0.622,0.76762,0.513,-0.02219,1.21
california,5000,hvrt,variance_ordered,log,,0.74543,0.651,0.76762,0.513,-0.02219,1.27
california,5000,hvrt,variance_ordered,tenth,,0.74543,0.629,0.76762,0.513,-0.02219,1.23
california,5000,hvrt,variance_ordered,fifth,,0.74543,0.664,0.76762,0.513,-0.02219,1.29
california,5000,hvrt,variance_ordered,none,,0.74543,0.656,0.76762,0.513,-0.02219,1.28
california,10000,pyramid_hart,variance_ordered,current,600.0,0.7366,0.435,0.78279,0.557,-0.04619,0.78
california,10000,pyramid_hart,variance_ordered,sqrt,1000.0,0.74776,0.523,0.78279,0.557,-0.03503,0.94
